strain	virus	date	country	division	location	host_type	length	lineage	authors	source
PZ060555.1	Influenza A virus	2024-12-03	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060796.1	Influenza A virus	2024-12-06	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060821.1	Influenza A virus	2024-12-11	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ060747.1	Influenza A virus	2024-12-25	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ062245.1	Influenza A virus	2025-02-16	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ062237.1	Influenza A virus	2025-02-12	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061238.1	Influenza A virus	2025-01-13	France			Homo sapiens	1743	6B.1A.5a.2a.1	Regue,H., Bal,A., Josset,L.	ncbi
PZ061819.1	Influenza A virus	2025-02-04	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061467.1	Influenza A virus	2025-01-23	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061875.1	Influenza A virus	2025-01-18	France			Homo sapiens	1744	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061529.1	Influenza A virus	2025-01-26	France			Homo sapiens	1745	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061412.1	Influenza A virus	2025-01-10	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061182.1	Influenza A virus	2025-01-03	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061840.1	Influenza A virus	2025-01-27	France			Homo sapiens	1743	6B.1A.5a.2a.1	Regue,H., Bal,A., Josset,L.	ncbi
PZ061078.1	Influenza A virus	2025-01-04	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061310.1	Influenza A virus	2025-01-08	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061517.1	Influenza A virus	2025-01-25	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061654.1	Influenza A virus	2025-01-19	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
PZ061506.1	Influenza A virus	2025-01-26	France			Homo sapiens	1743	6B.1A.5a.2a	Regue,H., Bal,A., Josset,L.	ncbi
MK367319.1	Influenza A virus	2015-03-02	Germany			Sus scrofa	1777	6B	Duerrwald,R., Groth,M., Krumbholz,A., Lange,J., Philipps,A., Zell,R.	ncbi
MK367335.1	Influenza A virus	2015-03-25	Germany			Sus scrofa	1777	6	Duerrwald,R., Groth,M., Krumbholz,A., Lange,J., Philipps,A., Zell,R.	ncbi
MK367343.1	Influenza A virus	2015-04-15	Germany			Sus scrofa	1777	6	Duerrwald,R., Groth,M., Krumbholz,A., Lange,J., Philipps,A., Zell,R.	ncbi
MK367359.1	Influenza A virus	2015-05-21	Germany			Sus scrofa	1777	6	Duerrwald,R., Groth,M., Krumbholz,A., Lange,J., Philipps,A., Zell,R.	ncbi
MK367375.1	Influenza A virus	2015-08-26	Germany			Sus scrofa	1777	6	Duerrwald,R., Groth,M., Krumbholz,A., Lange,J., Philipps,A., Zell,R.	ncbi
MK159108.1	Influenza A virus	2015-01-21	Germany			Homo sapiens	1776	6B	Fu,Y., Durrwald,R., Meng,F., Tong,J., Wu,N.H., Su,A., Yin,X., Haas,L., Schmidtke,M., Zell,R., Krumbholz,A., Herrler,G., Duerrwald,R., Wu,N.-H., Yin,Y.	ncbi
MK576224.1	Influenza A virus	2018-10-30	Germany			Homo sapiens	1701	6B.1A.7	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK576225.1	Influenza A virus	2018-12-31	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK400736.1	Influenza A virus	2018-02-21	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK400734.1	Influenza A virus	2018-02-13	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502194.1	Influenza A virus	2018-03-28	Germany			Homo sapiens	1701	6B.1A.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502576.1	Influenza A virus	2018-02-26	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502488.1	Influenza A virus	2018-03-28	Germany			Homo sapiens	1701	6B.1A.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502600.1	Influenza A virus	2018-03-06	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502199.1	Influenza A virus	2018-04-03	Germany			Homo sapiens	1701	6B.1A.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK400738.1	Influenza A virus	2018-01-24	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK400735.1	Influenza A virus	2018-02-16	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502624.1	Influenza A virus	2018-03-19	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502195.1	Influenza A virus	2018-03-05	Germany			Homo sapiens	1701	6B.1A.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK502584.1	Influenza A virus	2018-02-22	Germany			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MT638108.1	Influenza A virus	2019-02-27	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK960122.1	Influenza A virus	2019-03-06	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MN169135.1	Influenza A virus	2019-02-08	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK960123.1	Influenza A virus	2019-03-07	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MN081146.1	Influenza A virus	2019-04-10	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MN073996.1	Influenza A virus	2019-04-01	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK839643.1	Influenza A virus	2019-01-17	Germany			Homo sapiens	1701	6B.1A.2	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK912670.1	Influenza A virus	2019-02-14	Germany			Homo sapiens	1701	6B.1A.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK960117.1	Influenza A virus	2019-02-28	Germany			Homo sapiens	1701	6B.1A.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK839282.1	Influenza A virus	2019-01-25	Germany			Homo sapiens	1701	6B.1A.2	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MN081034.1	Influenza A virus	2019-04-08	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK839675.1	Influenza A virus	2019-01-28	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MT638628.1	Influenza A virus	2019-02-27	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK927181.1	Influenza A virus	2019-02-05	Germany			Homo sapiens	1701	6B.1A.7	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK927183.1	Influenza A virus	2019-02-05	Germany			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
OP938830.1	Influenza A virus	2022-09-28	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Garrett,C.M., Kramer,D.L., Hanson,J.F., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OP938832.1	Influenza A virus	2022-09-29	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Garrett,C.M., Kramer,D.L., Hanson,J.F., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ368035.1	Influenza A virus	2022-12-30	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ240531.1	Influenza A virus	2022-10-13	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Garrett,C.M., Kramer,D.L., Hanson,J.F., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ316652.1	Influenza A virus	2022-11-17	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Garrett,C.M., Kramer,D.L., Hanson,J.F., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ366858.1	Influenza A virus	2022-12-15	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ367611.1	Influenza A virus	2022-12-14	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OP938833.1	Influenza A virus	2022-09-13	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Garrett,C.M., Kramer,D.L., Hanson,J.F., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ240534.1	Influenza A virus	2022-10-16	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Garrett,C.M., Kramer,D.L., Hanson,J.F., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ367723.1	Influenza A virus	2022-12-20	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ506673.1	Influenza A virus	2022-12-30	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ366828.1	Influenza A virus	2022-12-20	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ368227.1	Influenza A virus	2022-12-19	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ366830.1	Influenza A virus	2022-12-20	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ367907.1	Influenza A virus	2022-12-23	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
PP432024.1	Influenza A virus	2023-12-28	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP279060.1	Influenza A virus	2023-12-26	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP254549.1	Influenza A virus	2023-12-07	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
OQ821775.1	Influenza A virus	2023-01-31	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Chelsea,J.D.	ncbi
OR166940.1	Influenza A virus	2023-03-27	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OR166872.1	Influenza A virus	2023-03-22	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ506676.1	Influenza A virus	2023-01-06	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ506688.1	Influenza A virus	2023-01-09	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ506686.1	Influenza A virus	2023-01-04	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OQ821780.1	Influenza A virus	2023-01-03	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Chelsea,J.D.	ncbi
PP254550.1	Influenza A virus	2023-12-04	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
OQ821776.1	Influenza A virus	2023-02-02	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Chelsea,J.D.	ncbi
OQ506690.1	Influenza A virus	2023-01-13	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi
OR166873.1	Influenza A virus	2023-03-24	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
OQ821781.1	Influenza A virus	2023-01-03	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Chelsea,J.D.	ncbi
PP498468.1	Influenza A virus	2024-02-27	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP498460.1	Influenza A virus	2024-02-27	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP498037.1	Influenza A virus	2024-02-27	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP920920.1	Influenza A virus	2024-05-06	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP498476.1	Influenza A virus	2024-02-27	Germany			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PQ282143.1	Influenza A virus	2024-07-01	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP432381.1	Influenza A virus	2024-01-24	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP498044.1	Influenza A virus	2024-02-09	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP432373.1	Influenza A virus	2024-01-30	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP498508.1	Influenza A virus	2024-02-08	Germany			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
